src,dst,edge_type
lane10:B2:s8->s7,rank122:B2,backward_receive
lane10:B2:s8->s7,rank138:B3,blocking_backward_send
lane10:B2:s9->s8,rank138:B2,backward_receive
lane10:B2:s9->s8,rank154:B3,blocking_backward_send
lane10:B3:s1->s0,rank10:B3,backward_receive
lane10:B3:s10->s9,rank154:B3,backward_receive
lane10:B3:s11->s10,rank170:B3,backward_receive
lane10:B3:s12->s11,rank186:B3,backward_receive
lane10:B3:s13->s12,rank202:B3,backward_receive
lane10:B3:s14->s13,rank218:B3,backward_receive
lane10:B3:s15->s14,rank234:B3,backward_receive
lane10:B3:s2->s1,rank26:B3,backward_receive
lane10:B3:s3->s2,rank42:B3,backward_receive
lane10:B3:s4->s3,rank58:B3,backward_receive
lane10:B3:s5->s4,rank74:B3,backward_receive
lane10:B3:s6->s5,rank90:B3,backward_receive
lane10:B3:s7->s6,rank106:B3,backward_receive
lane10:B3:s8->s7,rank122:B3,backward_receive
lane10:B3:s9->s8,rank138:B3,backward_receive
lane10:F0:s0->s1,rank10:F1,blocking_forward_send
lane10:F0:s0->s1,rank26:F0,forward_receive
lane10:F0:s1->s2,rank26:F1,blocking_forward_send
lane10:F0:s1->s2,rank42:F0,forward_receive
lane10:F0:s10->s11,rank170:F1,blocking_forward_send
lane10:F0:s10->s11,rank186:F0,forward_receive
lane10:F0:s11->s12,rank186:F1,blocking_forward_send
lane10:F0:s11->s12,rank202:F0,forward_receive
lane10:F0:s12->s13,rank202:F1,blocking_forward_send
lane10:F0:s12->s13,rank218:F0,forward_receive
lane10:F0:s13->s14,rank218:F1,blocking_forward_send
lane10:F0:s13->s14,rank234:F0,forward_receive
lane10:F0:s14->s15,rank234:F1,blocking_forward_send
lane10:F0:s14->s15,rank250:F0,forward_receive
lane10:F0:s2->s3,rank42:F1,blocking_forward_send
lane10:F0:s2->s3,rank58:F0,forward_receive
lane10:F0:s3->s4,rank58:F1,blocking_forward_send
lane10:F0:s3->s4,rank74:F0,forward_receive
lane10:F0:s4->s5,rank74:F1,blocking_forward_send
lane10:F0:s4->s5,rank90:F0,forward_receive
lane10:F0:s5->s6,rank106:F0,forward_receive
lane10:F0:s5->s6,rank90:F1,blocking_forward_send
lane10:F0:s6->s7,rank106:F1,blocking_forward_send
lane10:F0:s6->s7,rank122:F0,forward_receive
lane10:F0:s7->s8,rank122:F1,blocking_forward_send
lane10:F0:s7->s8,rank138:F0,forward_receive
lane10:F0:s8->s9,rank138:F1,blocking_forward_send
lane10:F0:s8->s9,rank154:F0,forward_receive
