arrival_wait_ns,group_key,service_ns,end_ns,group_size,completion_advance_ns,start_ns,group_first_start_ns,round,rank,iteration,pp_stage,group_ready_ns,group_end_ns,kind,behavior,observed_ranks,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
1068143,dp_param_allgather:pg=1,11548154,1785477765089440332,16,17410,1785477765076841445,1785477765074595964,1,14,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23599808,1785477765076296037,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,17410,trace_group_end_lag_clamped,1785477765091419085
2037781,dp_param_allgather:pg=1,11548154,1785477765089442970,16,14772,1785477765075871807,1785477765074595964,1,15,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,23621515,1785477765075130376,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,14772,trace_group_end_lag_clamped,1785477765091421723
121986005,dp_grad_reduce_scatter:pg=1,23683428,1785477764935174221,16,39775,1785477764789544563,1785477764788594100,0,0,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764760763174,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,39775,trace_group_end_lag_clamped,1785477764918051118
121797445,dp_grad_reduce_scatter:pg=1,23683428,1785477764935153805,16,60191,1785477764789733123,1785477764788594100,0,1,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764755869576,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,60191,trace_group_end_lag_clamped,1785477764918030702
122163463,dp_grad_reduce_scatter:pg=1,23683428,1785477764935152670,16,61326,1785477764789367105,1785477764788594100,0,2,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764763739227,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,61326,trace_group_end_lag_clamped,1785477764918029567
122045609,dp_grad_reduce_scatter:pg=1,23683428,1785477764935160255,16,53741,1785477764789484959,1785477764788594100,0,3,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764762434127,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,53741,trace_group_end_lag_clamped,1785477764918037152
122815184,dp_grad_reduce_scatter:pg=1,23683428,1785477764935163788,16,50208,1785477764788715384,1785477764788594100,0,4,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764768747312,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,50208,trace_group_end_lag_clamped,1785477764918040685
122936468,dp_grad_reduce_scatter:pg=1,23683428,1785477764935213996,16,0,1785477764788594100,1785477764788594100,0,5,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764770877682,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,0,trace_group_end_lag_clamped,1785477764918090893
122489989,dp_grad_reduce_scatter:pg=1,23683428,1785477764935092758,16,121238,1785477764789040579,1785477764788594100,0,6,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764758881466,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,121238,trace_group_end_lag_clamped,1785477764917969655
122562310,dp_grad_reduce_scatter:pg=1,23683428,1785477764935157988,16,56008,1785477764788968258,1785477764788594100,0,7,55,0,1785477764911530568,1785477764935213996,dp_rs,dp_grad_reduce_scatter,16,4767580160,pp_frontier,0,1785477764756200295,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,mock_oisa_scale_1.2,162221317,133801203,28420114,162221317,28420114,1785477764918090893,56008,trace_group_end_lag_clamped,1785477764918034885
