rank,pp_stage,phase,behavior,behavior_delta_ns
199,12,backward,cp_all_to_all,0
200,12,forward,cp_all_to_all,0
200,12,backward,cp_all_to_all,0
201,12,forward,cp_all_to_all,0
201,12,backward,cp_all_to_all,0
202,12,forward,cp_all_to_all,0
202,12,backward,cp_all_to_all,0
203,12,forward,cp_all_to_all,0
203,12,backward,cp_all_to_all,0
204,12,forward,cp_all_to_all,0
204,12,backward,cp_all_to_all,0
205,12,forward,cp_all_to_all,0
205,12,backward,cp_all_to_all,0
206,12,forward,cp_all_to_all,0
206,12,backward,cp_all_to_all,0
207,12,forward,cp_all_to_all,0
207,12,backward,cp_all_to_all,0
208,13,forward,cp_all_to_all,0
208,13,backward,cp_all_to_all,0
209,13,forward,cp_all_to_all,0
209,13,backward,cp_all_to_all,0
210,13,forward,cp_all_to_all,0
210,13,backward,cp_all_to_all,0
211,13,forward,cp_all_to_all,0
211,13,backward,cp_all_to_all,0
212,13,forward,cp_all_to_all,0
212,13,backward,cp_all_to_all,0
213,13,forward,cp_all_to_all,0
213,13,backward,cp_all_to_all,0
214,13,forward,cp_all_to_all,0
214,13,backward,cp_all_to_all,0
215,13,forward,cp_all_to_all,0
215,13,backward,cp_all_to_all,0
216,13,forward,cp_all_to_all,0
216,13,backward,cp_all_to_all,0
217,13,forward,cp_all_to_all,0
217,13,backward,cp_all_to_all,0
218,13,forward,cp_all_to_all,0
218,13,backward,cp_all_to_all,0
219,13,forward,cp_all_to_all,0
219,13,backward,cp_all_to_all,0
220,13,forward,cp_all_to_all,0
220,13,backward,cp_all_to_all,0
221,13,forward,cp_all_to_all,0
221,13,backward,cp_all_to_all,0
222,13,forward,cp_all_to_all,0
222,13,backward,cp_all_to_all,0
223,13,forward,cp_all_to_all,0
223,13,backward,cp_all_to_all,0
224,14,forward,cp_all_to_all,0
224,14,backward,cp_all_to_all,0
225,14,forward,cp_all_to_all,0
225,14,backward,cp_all_to_all,0
226,14,forward,cp_all_to_all,0
226,14,backward,cp_all_to_all,0
227,14,forward,cp_all_to_all,0
227,14,backward,cp_all_to_all,0
228,14,forward,cp_all_to_all,0
228,14,backward,cp_all_to_all,0
229,14,forward,cp_all_to_all,0
229,14,backward,cp_all_to_all,0
230,14,forward,cp_all_to_all,0
230,14,backward,cp_all_to_all,0
231,14,forward,cp_all_to_all,0
231,14,backward,cp_all_to_all,0
232,14,forward,cp_all_to_all,0
232,14,backward,cp_all_to_all,0
233,14,forward,cp_all_to_all,0
233,14,backward,cp_all_to_all,0
234,14,forward,cp_all_to_all,0
234,14,backward,cp_all_to_all,0
235,14,forward,cp_all_to_all,0
235,14,backward,cp_all_to_all,0
236,14,forward,cp_all_to_all,0
236,14,backward,cp_all_to_all,0
237,14,forward,cp_all_to_all,0
237,14,backward,cp_all_to_all,0
238,14,forward,cp_all_to_all,0
238,14,backward,cp_all_to_all,0
239,14,forward,cp_all_to_all,0
239,14,backward,cp_all_to_all,0
240,15,forward,cp_all_to_all,0
240,15,backward,cp_all_to_all,0
241,15,forward,cp_all_to_all,0
241,15,backward,cp_all_to_all,0
242,15,forward,cp_all_to_all,0
242,15,backward,cp_all_to_all,0
243,15,forward,cp_all_to_all,0
243,15,backward,cp_all_to_all,0
244,15,forward,cp_all_to_all,0
244,15,backward,cp_all_to_all,0
245,15,forward,cp_all_to_all,0
245,15,backward,cp_all_to_all,0
246,15,forward,cp_all_to_all,0
