iteration,rank,pp_stage,pp_lane,phase,microbatch,trace_duration_ns,adjusted_duration_ns,adjustment_ns
55,35,2,3,forward,3,317342751,217673892,-99668859
55,36,2,4,backward,0,713425099,491108169,-222316930
55,36,2,4,backward,1,708489336,487710485,-220778851
55,36,2,4,backward,2,708909728,487999875,-220909853
55,36,2,4,backward,3,702826607,483812371,-219014236
55,36,2,4,forward,0,321407399,220665186,-100742213
55,36,2,4,forward,1,323013672,221767987,-101245685
55,36,2,4,forward,2,463738954,318384215,-145354739
55,36,2,4,forward,3,317187034,217767655,-99419379
55,37,2,5,backward,0,714076982,491753080,-222323902
55,37,2,5,backward,1,709585760,488660175,-220925585
55,37,2,5,backward,2,709486438,488591776,-220894662
55,37,2,5,backward,3,703017508,484136911,-218880597
55,37,2,5,forward,0,321698507,220865427,-100833080
55,37,2,5,forward,1,322687048,221544120,-101142928
55,37,2,5,forward,2,463387493,318143461,-145244032
55,37,2,5,forward,3,317574260,218033882,-99540378
55,38,2,6,backward,0,715010326,490280240,-224730086
55,38,2,6,backward,1,709015022,486169280,-222845742
55,38,2,6,backward,2,708397152,485745609,-222651543
55,38,2,6,backward,3,702727586,481858006,-220869580
55,38,2,6,forward,0,321303831,219644238,-101659593
55,38,2,6,forward,1,322760581,220640076,-102120505
55,38,2,6,forward,2,463241284,316673095,-146568189
55,38,2,6,forward,3,317393778,216971314,-100422464
55,39,2,7,backward,0,715616797,490772603,-224844194
55,39,2,7,backward,1,709004081,486237578,-222766503
55,39,2,7,backward,2,709105723,486307284,-222798439
55,39,2,7,backward,3,702791125,481976710,-220814415
55,39,2,7,forward,0,321146362,219452279,-101694083
55,39,2,7,forward,1,322703947,220516640,-102187307
55,39,2,7,forward,2,463087700,316446528,-146641172
55,39,2,7,forward,3,317177844,216740431,-100437413
55,40,2,8,backward,0,705553705,478123956,-227429749
55,40,2,8,backward,1,759496794,514678910,-244817884
55,40,2,8,backward,2,708930798,480412470,-228518328
55,40,2,8,backward,3,705443759,478049451,-227394308
55,40,2,8,forward,0,343064070,223190712,-119873358
55,40,2,8,forward,1,319534447,207882804,-111651643
55,40,2,8,forward,2,318726903,207357431,-111369472
55,40,2,8,forward,3,345615913,224850891,-120765022
55,41,2,9,backward,0,706004888,478739217,-227265671
55,41,2,9,backward,1,759368744,514925044,-244443700
55,41,2,9,backward,2,709343747,481003284,-228340463
55,41,2,9,backward,3,706355801,478977170,-227378631
55,41,2,9,forward,0,344019542,225825762,-118193780
55,41,2,9,forward,1,336601414,220956258,-115645156
55,41,2,9,forward,2,319990034,210052001,-109938033
55,41,2,9,forward,3,347276601,227963803,-119312798
55,42,2,10,backward,0,706039766,480028208,-226011558
55,42,2,10,backward,1,759121404,516117795,-243003609
55,42,2,10,backward,2,710198626,482855768,-227342858
55,42,2,10,backward,3,705302073,479526659,-225775414
55,42,2,10,forward,0,343797396,226136175,-117661221
55,42,2,10,forward,1,336288850,221197354,-115091496
55,42,2,10,forward,2,319177817,209942401,-109235416
55,42,2,10,forward,3,346563252,227955445,-118607807
55,43,2,11,backward,0,706848719,480750147,-226098572
55,43,2,11,backward,1,761199404,517715765,-243483639
55,43,2,11,backward,2,709189352,482342085,-226847267
55,43,2,11,backward,3,705596229,479898288,-225697941
55,43,2,11,forward,0,344447227,226760288,-117686939
55,43,2,11,forward,1,336810023,221732480,-115077543
55,43,2,11,forward,2,319937965,210625081,-109312884
55,43,2,11,forward,3,346840231,228335677,-118504554
55,44,2,12,backward,0,705234864,478656193,-226578671
55,44,2,12,backward,1,759784360,515679964,-244104396
55,44,2,12,backward,2,709556755,481589542,-227967213
55,44,2,12,backward,3,705855503,479077433,-226778070
55,44,2,12,forward,0,342805226,225078936,-117726290
55,44,2,12,forward,1,336815772,221146383,-115669389
55,44,2,12,forward,2,319828751,209993050,-109835701
55,44,2,12,forward,3,346895336,227764419,-119130917
55,45,2,13,backward,0,705350314,478609547,-226740767
55,45,2,13,backward,1,759336132,515241171,-244094961
55,45,2,13,backward,2,709282157,481277466,-228004691
55,45,2,13,backward,3,704805367,478239778,-226565589
55,45,2,13,forward,0,344249216,226283924,-117965292
55,45,2,13,forward,1,336700852,221322188,-115378664
55,45,2,13,forward,2,320534369,210695541,-109838828
55,45,2,13,forward,3,347051594,228125999,-118925595
55,46,2,14,backward,0,704734916,476609131,-228125785
55,46,2,14,backward,1,759298745,513510409,-245788336
55,46,2,14,backward,2,707772770,478663618,-229109152
55,46,2,14,backward,3,705172212,476904872,-228267340
55,46,2,14,forward,0,344253596,225444255,-118809341
55,46,2,14,forward,1,336631974,220453020,-116178954
55,46,2,14,forward,2,320034246,209583526,-110450720
55,46,2,14,forward,3,346572618,226962933,-119609685
55,47,2,15,backward,0,704756501,476563218,-228193283
55,47,2,15,backward,1,758514063,512914605,-245599458
55,47,2,15,backward,2,708123079,478839730,-229283349
55,47,2,15,backward,3,704986549,476718778,-228267771
55,47,2,15,forward,0,343723051,224733504,-118989547
55,47,2,15,forward,1,335519137,219369609,-116149528
55,47,2,15,forward,2,318570530,208288246,-110282284
55,47,2,15,forward,3,345570266,225941253,-119629013
55,48,3,0,backward,0,710975746,487635182,-223340564
55,48,3,0,backward,1,704069463,482898387,-221171076
55,48,3,0,backward,2,722411329,495478478,-226932851
55,48,3,0,backward,3,718544047,492826034,-225718013
55,48,3,0,forward,0,317327036,206330129,-110996907
55,48,3,0,forward,1,314210059,204303431,-109906628
55,48,3,0,forward,2,315324274,205027908,-110296366
55,48,3,0,forward,3,334028881,217189884,-116838997
55,49,3,1,backward,0,709627154,486239285,-223387869
55,49,3,1,backward,1,703394040,481968331,-221425709
55,49,3,1,backward,2,723820297,495964481,-227855816
55,49,3,1,backward,3,718006043,491980532,-226025511
55,49,3,1,forward,0,317401591,206418921,-110982670
55,49,3,1,forward,1,314177267,204322014,-109855253
55,49,3,1,forward,2,315252328,205021170,-110231158
55,49,3,1,forward,3,333880412,217135756,-116744656
55,50,3,2,backward,0,708158465,488469651,-219688814
55,50,3,2,backward,1,704332102,485830323,-218501779
55,50,3,2,backward,2,723807019,499263625,-224543394
55,50,3,2,backward,3,717324928,494792444,-222532484
55,50,3,2,forward,0,317460192,208070895,-109389297
55,50,3,2,forward,1,314470751,206111545,-108359206
55,50,3,2,forward,2,315382705,206709261,-108673444
55,50,3,2,forward,3,334179539,219029150,-115150389
55,51,3,3,backward,0,708260929,488589702,-219671227
55,51,3,3,backward,1,704767534,486179803,-218587731
55,51,3,3,backward,2,723795827,499306361,-224489466
55,51,3,3,backward,3,717118801,494700254,-222418547
55,51,3,3,forward,0,317311242,207958334,-109352908
55,51,3,3,forward,1,314443434,206078840,-108364594
55,51,3,3,forward,2,315302091,206641583,-108660508
55,51,3,3,forward,3,334042307,218923481,-115118826
55,52,3,4,backward,0,710320230,490038714,-220281516
55,52,3,4,backward,1,704350871,485920547,-218430324
55,52,3,4,backward,2,724224207,499630848,-224593359
55,52,3,4,backward,3,717418268,494935538,-222482730
55,52,3,4,forward,0,317215823,207765870,-109449953
55,52,3,4,forward,1,314164286,205767214,-108397072
55,52,3,4,forward,2,315033668,206336630,-108697038
55,52,3,4,forward,3,333987697,218750892,-115236805
55,53,3,5,backward,0,710329686,490220821,-220108865
55,53,3,5,backward,1,705321731,486764674,-218557057
55,53,3,5,backward,2,724855887,500245808,-224610079
55,53,3,5,backward,3,718991202,496198405,-222792797
55,53,3,5,forward,0,317248640,207696364,-109552276
55,53,3,5,forward,1,314307097,205770595,-108536502
55,53,3,5,forward,2,315327816,206438839,-108888977
55,53,3,5,forward,3,334077421,218713832,-115363589
55,54,3,6,backward,0,709544078,485617060,-223927018
55,54,3,6,backward,1,704132507,481913342,-222219165
55,54,3,6,backward,2,724015614,495521484,-228494130
55,54,3,6,backward,3,716424301,490325935,-226098366
55,54,3,6,forward,0,317208093,205944009,-111264084
55,54,3,6,forward,1,314225649,204007689,-110217960
55,54,3,6,forward,2,315106267,204579421,-110526846
55,54,3,6,forward,3,333999969,216845957,-117154012
