iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_optimizer_ready_ns,next_node_contract,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_first_rs_ready_ns
55,93,5,13,rank93:B3,15163594674,first_optimizer_collective_or_local_tail,1785477761170080119,1785477761276728842,106648723,15270243397
55,94,5,14,rank94:B3,15153861900,first_optimizer_collective_or_local_tail,1785477761170724109,1785477761276907181,106183072,15260044972
55,95,5,15,rank95:B3,15151793187,first_optimizer_collective_or_local_tail,1785477761170145500,1785477761276533306,106387806,15258180993
55,96,6,0,rank96:B3,14218754952,first_optimizer_collective_or_local_tail,1785477760175889677,1785477760305299233,129409556,14348164508
55,97,6,1,rank97:B3,14213409179,first_optimizer_collective_or_local_tail,1785477760175716787,1785477760304391256,128674469,14342083648
55,98,6,2,rank98:B3,14222937308,first_optimizer_collective_or_local_tail,1785477760175986558,1785477760304445348,128458790,14351396098
55,99,6,3,rank99:B3,14216538202,first_optimizer_collective_or_local_tail,1785477760176105232,1785477760304224397,128119165,14344657367
55,100,6,4,rank100:B3,14224142487,first_optimizer_collective_or_local_tail,1785477760176204886,1785477760304652390,128447504,14352589991
55,101,6,5,rank101:B3,14225988902,first_optimizer_collective_or_local_tail,1785477760176861855,1785477760304761381,127899526,14353888428
55,102,6,6,rank102:B3,14221079861,first_optimizer_collective_or_local_tail,1785477760176112467,1785477760304590902,128478435,14349558296
55,103,6,7,rank103:B3,14215817147,first_optimizer_collective_or_local_tail,1785477760175806072,1785477760305169111,129363039,14345180186
55,104,6,8,rank104:B3,14445928799,first_optimizer_collective_or_local_tail,1785477760382928238,1785477760490397274,107469036,14553397835
55,105,6,9,rank105:B3,14465080716,first_optimizer_collective_or_local_tail,1785477760383818542,1785477760490374749,106556207,14571636923
55,106,6,10,rank106:B3,14467451546,first_optimizer_collective_or_local_tail,1785477760383145375,1785477760489780623,106635248,14574086794
55,107,6,11,rank107:B3,14468586963,first_optimizer_collective_or_local_tail,1785477760383269213,1785477760489924669,106655456,14575242419
55,108,6,12,rank108:B3,14469318205,first_optimizer_collective_or_local_tail,1785477760383543090,1785477760491116487,107573397,14576891602
55,109,6,13,rank109:B3,14470918071,first_optimizer_collective_or_local_tail,1785477760384883421,1785477760490010300,105126879,14576044950
55,110,6,14,rank110:B3,14461340421,first_optimizer_collective_or_local_tail,1785477760383862709,1785477760491001110,107138401,14568478822
55,111,6,15,rank111:B3,14460168922,first_optimizer_collective_or_local_tail,1785477760385215107,1785477760491316133,106101026,14566269948
55,112,7,0,rank112:B3,13514629476,first_optimizer_collective_or_local_tail,1785477759377716238,1785477759494614651,116898413,13631527889
55,113,7,1,rank113:B3,13509646804,first_optimizer_collective_or_local_tail,1785477759377483312,1785477759494678289,117194977,13626841781
55,114,7,2,rank114:B3,13517977700,first_optimizer_collective_or_local_tail,1785477759377725613,1785477759494777943,117052330,13635030030
55,115,7,3,rank115:B3,13512049122,first_optimizer_collective_or_local_tail,1785477759377760403,1785477759494778857,117018454,13629067576
55,116,7,4,rank116:B3,13519166013,first_optimizer_collective_or_local_tail,1785477759377892671,1785477759493127832,115235161,13634401174
55,117,7,5,rank117:B3,13519005514,first_optimizer_collective_or_local_tail,1785477759377846687,1785477759493313891,115467204,13634472718
