iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_start_ns,predicted_end_ns,critical_predecessor,local_wait_ns
55,rank176:F1,compute,forward,1,176,11,0,176,176,11,11,1,warmup,315929963,0,0,1.7854777485695043e+18,1.7854777488854344e+18,3746225357,4062155320,lane0:F1:s10->s11,18307832
55,lane0:F2:s9->s10,pp_message,forward,2,-1,9,0,144,160,9,10,-1,p2p,4712346,4712346,0,,,3892572729,3897285075,rank144:F2,0
55,rank160:F2,compute,forward,2,160,10,0,160,160,10,10,2,warmup,334048899,0,0,1.785477748724015e+18,1.7854777490580641e+18,3897285075,4231333974,lane0:F2:s9->s10,155772064
55,lane0:F3:s8->s9,pp_message,forward,3,-1,8,0,128,144,8,9,-1,p2p,4712346,4712346,0,,,3919414512,3924126858,rank128:F3,0
55,rank144:F3,compute,forward,3,144,9,0,144,144,9,9,3,warmup,318916553,0,0,1.7854777487556908e+18,1.7854777490746074e+18,3924126858,4243043411,lane0:F3:s8->s9,31554129
55,lane0:F0:s12->s13,pp_message,forward,0,-1,12,0,192,208,12,13,-1,p2p,4712346,4712346,0,,,4045802909,4050515255,rank192:F0,0
55,rank208:F0,compute,forward,0,208,13,0,208,208,13,13,0,warmup,315061449,0,0,1.7854777488711788e+18,1.7854777491862403e+18,4050515255,4365576704,lane0:F0:s12->s13,4050515255
55,lane0:F1:s11->s12,pp_message,forward,1,-1,11,0,176,192,11,12,-1,p2p,4712346,4712346,0,,,4062155320,4066867666,rank176:F1,0
55,rank192:F1,compute,forward,1,192,12,0,192,192,12,12,1,warmup,307627107,0,0,1.7854777488905708e+18,1.7854777491981978e+18,4066867666,4374494773,lane0:F1:s11->s12,21064757
55,lane0:F2:s10->s11,pp_message,forward,2,-1,10,0,160,176,10,11,-1,p2p,4712346,4712346,0,,,4231333974,4236046320,rank160:F2,0
