iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,150,9,6,rank150:B3,1785477744808565246,12141300117,1785477756949865363,1785477757820450157,1785477757927312288,106862131,1785477757056727494
55,151,9,7,rank151:B3,1785477744808446696,12141622910,1785477756950069606,1785477757820436307,1785477757927732733,107296426,1785477757057366032
55,152,9,8,rank152:B3,1785477744808618037,12336550351,1785477757145168388,1785477757988863695,1785477758097967337,109103642,1785477757254272030
55,153,9,9,rank153:B3,1785477744808590481,12354389004,1785477757162979485,1785477757991014702,1785477758098290469,107275767,1785477757270255252
55,154,9,10,rank154:B3,1785477744809248162,12352850799,1785477757162098961,1785477757989021815,1785477758094901772,105879957,1785477757267978918
55,155,9,11,rank155:B3,1785477744809005006,12355039854,1785477757164044860,1785477757988164055,1785477758094870135,106706080,1785477757270750940
55,156,9,12,rank156:B3,1785477744809228982,12354705072,1785477757163934054,1785477757988609012,1785477758095160387,106551375,1785477757270485429
55,157,9,13,rank157:B3,1785477744808336642,12354614659,1785477757162951301,1785477757989289495,1785477758094765516,105476021,1785477757268427322
55,158,9,14,rank158:B3,1785477744808877140,12348810415,1785477757157687555,1785477757988374785,1785477758096155176,107780391,1785477757265467946
55,159,9,15,rank159:B3,1785477744809154297,12346741048,1785477757155895345,1785477757988342534,1785477758095530344,107187810,1785477757263083155
55,160,10,0,rank160:B3,1785477744809471652,11420237263,1785477756229708915,1785477757001885837,1785477757130724133,128838296,1785477756358547211
55,161,10,1,rank161:B3,1785477744808791856,11415515981,1785477756224307837,1785477757002137293,1785477757130210624,128073331,1785477756352381168
55,162,10,2,rank162:B3,1785477744808224865,11422128472,1785477756230353337,1785477757001800714,1785477757130045311,128244597,1785477756358597934
55,163,10,3,rank163:B3,1785477744811134701,11418535317,1785477756229670018,1785477757001897950,1785477757130776359,128878409,1785477756358548427
55,164,10,4,rank164:B3,1785477744808924105,11423659644,1785477756232583749,1785477757002532102,1785477757129937718,127405616,1785477756359989365
55,165,10,5,rank165:B3,1785477744808609781,11422620764,1785477756231230545,1785477757002236032,1785477757129591738,127355706,1785477756358586251
55,166,10,6,rank166:B3,1785477744808565246,11417276996,1785477756225842242,1785477757002106551,1785477757130344305,128237754,1785477756354079996
55,167,10,7,rank167:B3,1785477744808446696,11417237814,1785477756225684510,1785477757002160137,1785477757130312892,128152755,1785477756353837265
55,168,10,8,rank168:B3,1785477744808618037,11611049321,1785477756419667358,1785477757170498020,1785477757278808101,108310081,1785477756527977439
55,169,10,9,rank169:B3,1785477744808590481,11614025709,1785477756422616190,1785477757170801318,1785477757280206923,109405605,1785477756532021795
