iteration,node_id,source_model,kind,category,rank,pp_stage,pp_lane,microbatch,predicted_start_ns,predicted_end_ns,duration_ns,network_service_ns,software_completion_ns,group_key,dependency
55,rank56:F1,pipeline,compute,forward,56,3,8,1,1785477746046096594,1785477746398459014,352362420,0,0,,lane8:F0:s3->s4
55,rank72:F0,pipeline,compute,forward,72,4,8,0,1785477746046096594,1785477746364326213,318229619,0,0,,lane8:F0:s3->s4
55,lane8:F3:s1->s2,pipeline,pp_message,forward,-1,1,8,3,1785477746288224983,1785477746292937329,4712346,4712346,0,,rank24:F3
55,lane8:F2:s2->s3,pipeline,pp_message,forward,-1,2,8,2,1785477746293393602,1785477746298105948,4712346,4712346,0,,rank40:F2
55,rank40:F3,pipeline,compute,forward,40,2,8,3,1785477746298105948,1785477746643721861,345615913,0,0,,lane8:F2:s2->s3
55,lane8:F0:s4->s5,pipeline,pp_message,forward,-1,4,8,0,1785477746364326213,1785477746369038559,4712346,4712346,0,,rank72:F0
55,rank88:F0,pipeline,compute,forward,88,5,8,0,1785477746369038559,1785477746683661114,314622555,0,0,,lane8:F0:s4->s5
55,lane8:F1:s3->s4,pipeline,pp_message,forward,-1,3,8,1,1785477746398459014,1785477746403171360,4712346,4712346,0,,rank56:F1
55,rank56:F2,pipeline,compute,forward,56,3,8,2,1785477746403171360,1785477746740248585,337077225,0,0,,lane8:F1:s3->s4
55,rank72:F1,pipeline,compute,forward,72,4,8,1,1785477746403171360,1785477746721264647,318093287,0,0,,lane8:F1:s3->s4
55,lane8:F3:s2->s3,pipeline,pp_message,forward,-1,2,8,3,1785477746643721861,1785477746648434207,4712346,4712346,0,,rank40:F3
55,lane8:F0:s5->s6,pipeline,pp_message,forward,-1,5,8,0,1785477746683661114,1785477746688373460,4712346,4712346,0,,rank88:F0
55,rank104:F0,pipeline,compute,forward,104,6,8,0,1785477746688373460,1785477747004421861,316048401,0,0,,lane8:F0:s5->s6
55,lane8:F1:s4->s5,pipeline,pp_message,forward,-1,4,8,1,1785477746721264647,1785477746725976993,4712346,4712346,0,,rank72:F1
