scenario_id,omitted_source_stages,retained_source_stages,target_world_size,target_pp_size,target_lanes,predicted_profiler_step_ms,predicted_training_log_ms,predicted_mfu_pct,profiler_step_delta_vs_256_ms,profiler_step_delta_vs_256_pct,mfu_relative_delta_vs_256_pct,pp_front_predicted_ms_p50,first_rs_offset_ms,last_ag_offset_ms,compute_route_scale_min,compute_route_scale_p50,compute_route_scale_max,clamped_negative_dependency_lags,fallback_dependencies,dp_ag0_payload_service_scale,dp_ag1_payload_service_scale,dp_rs_payload_service_scale,edp_ag0_payload_service_scale,edp_ag1_payload_service_scale,edp_rs_payload_service_scale
omit_03_11,"3,11","0,1,2,4,5,6,7,8,9,10,12,13,14,15",224,14,16,21868.421998,23170.426573,3.250968383202158,252.1861710000012,1.1666516456348308,-26.293418361050225,20209.6438175,9968.630166,21838.883198,1.1442630275836414,1.151641023474319,1.1718230182413942,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_12,"3,12","0,1,2,4,5,6,7,8,9,10,11,13,14,15",224,14,16,21864.653775,23166.65835,3.2514971765071223,248.41794799999843,1.149219271977553,-26.281429457342675,20207.391309,9970.456969,21835.114975,1.1450909359737576,1.150949508732254,1.1716003718245764,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_13,"3,13","0,1,2,4,5,6,7,8,9,10,11,12,14,15",224,14,16,21867.303787,23169.308362,3.251125283380185,251.0679600000003,1.1614786311981318,-26.289861089979638,20203.1373525,9959.167805,21837.764987,1.1445890303717763,1.1524660380908078,1.1896578981258956,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_14,"3,14","0,1,2,4,5,6,7,8,9,10,11,12,13,15",224,14,16,21838.602323,23140.606898,3.25515767784986,222.36649599999873,1.0287012862907785,-26.198437865528966,20191.9984425,9947.738435,21809.063577,1.1440751853620537,1.1524769886851067,1.1743795366087846,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_03_15,"3,15","0,1,2,4,5,6,7,8,9,10,11,12,13,14",224,14,16,22079.876972,23381.881547,3.2215681215695344,463.6411449999978,2.144874568868649,-26.95998675815564,20381.1164255,10573.68271,22050.338172,1.1117449329735638,1.1162311427105027,1.1404614081503512,0,0,1.1607310244897229,1.1607310244897229,1.1607310244897229,1.1132075471698113,1.1132075471698113,1.1132075471698113
omit_04_05,"4,5","0,1,2,3,6,7,8,9,10,11,12,13,14,15",224,14,16,21864.470537,23166.475112,3.2515228946121315,248.23471000000063,1.1483715850746812,-26.28084637151008,20206.7083335,9969.460147,21834.931737,1.1455299710150275,1.1522257547425188,1.1829176324709052,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_04_06,"4,6","0,1,2,3,5,7,8,9,10,11,12,13,14,15",224,14,16,21867.07996,23169.084535,3.251156691164886,250.8441329999987,1.1604431733978293,-26.289149006632684,20208.820621,9969.016173,21837.54116,1.1414149030543197,1.152583288829416,1.1570424416936982,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_04_07,"4,7","0,1,2,3,5,6,8,9,10,11,12,13,14,15",224,14,16,21864.375783,23166.380358,3.2515361938326217,248.13995599999907,1.1479332386356456,-26.280544849020394,20207.174198,9969.492007,21834.836983,1.13997287448524,1.1505709544136908,1.1585724029159656,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_04_08,"4,8","0,1,2,3,5,6,7,9,10,11,12,13,14,15",224,14,16,21867.207297,23169.211872,3.251138822946413,250.9714700000004,1.1610322537586315,-26.289554118325086,20205.7561135,9964.655077,21837.668497,1.1413387780017064,1.1515011536983841,1.1562798894229096,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
omit_04_09,"4,9","0,1,2,3,5,6,7,8,10,11,12,13,14,15",224,14,16,21868.205553,23170.210128,3.2509987521909514,251.96972599999935,1.1656503380911287,-26.29272982948425,20208.656615,9970.436202,21838.666753,1.1416896801253824,1.153126684836933,1.1577906190877691,0,0,1.134743528142323,1.134743528142323,1.134743528142323,1.1568627450980393,1.1568627450980393,1.1568627450980393
