line_number,evidence_kind,field,value_literal,source_line_sha256,excerpt,deployment_revision_independently_verified,source_path,source_sha256
94,runtime_config_dump,moe_router_force_load_balancing,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_router_force_load_balancing = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_grouped_gemm,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_grouped_gemm = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_token_dispatcher_type,'flex',576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_token_dispatcher_type = 'flex',False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_enable_deepep,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_enable_deepep = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_expert_capacity_factor,2.0,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_expert_capacity_factor = 2.0,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_pad_expert_input_to_capacity,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_pad_expert_input_to_capacity = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_token_drop_policy,'probs',576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_token_drop_policy = 'probs',False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_permute_fusion,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_permute_fusion = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_router_fusion,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_router_fusion = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,cp_comm_type,'a2a',576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,cp_comm_type = 'a2a',False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,transformer_impl,'transformer_engine',576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,transformer_impl = 'transformer_engine',False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,q_lora_rank,1536,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,q_lora_rank = 1536,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,kv_lora_rank,512,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,kv_lora_rank = 512,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,qk_head_dim,128,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,qk_head_dim = 128,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,qk_pos_emb_head_dim,64,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,qk_pos_emb_head_dim = 64,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,v_head_dim,128,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,v_head_dim = 128,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
