iteration,rank,pp_stage,pp_lane,phase,microbatch,observed_start_ns,observed_end_ns,duration_ns
55,140,8,12,backward,1,1785477756138074544,1785477756851613414,713538870
55,140,8,12,backward,2,1785477757266690920,1785477757959712574,693021654
55,140,8,12,backward,3,1785477758086572225,1785477758808754636,722182411
55,156,9,12,forward,0,1785477747680580839,1785477748003047005,322466166
55,156,9,12,forward,1,1785477748189801443,1785477748507280770,317479327
55,156,9,12,forward,2,1785477748523493985,1785477748839956329,316462344
55,156,9,12,forward,3,1785477748850011507,1785477749169209698,319198191
55,156,9,12,backward,0,1785477754213014433,1785477754921890167,708875734
55,156,9,12,backward,1,1785477755327281154,1785477756040524986,713243832
55,156,9,12,backward,2,1785477756464827191,1785477757168137551,703310360
55,156,9,12,backward,3,1785477757272224806,1785477757988609012,716384206
55,172,10,12,forward,0,1785477748008503763,1785477748321784113,313280350
55,172,10,12,forward,1,1785477748512463821,1785477748823088248,310624427
55,172,10,12,forward,2,1785477748845140257,1785477749155175197,310034940
55,172,10,12,forward,3,1785477749174410539,1785477749628990270,454579731
55,172,10,12,backward,0,1785477753424552170,1785477754113534888,688982718
55,172,10,12,backward,1,1785477754543140262,1785477755228960197,685819935
55,172,10,12,backward,2,1785477755682077085,1785477756366074945,683997860
55,172,10,12,backward,3,1785477756485729589,1785477757171049838,685320249
55,188,11,12,forward,0,1785477748327917950,1785477748640434353,312516403
55,188,11,12,forward,1,1785477748828237085,1785477749136838518,308601433
55,188,11,12,forward,2,1785477749160273618,1785477749466479306,306205688
55,188,11,12,forward,3,1785477749634167735,1785477749940846726,306678991
55,188,11,12,backward,0,1785477752648982285,1785477753326632628,677650343
55,188,11,12,backward,1,1785477753768084229,1785477754445121055,677036826
55,188,11,12,backward,2,1785477754905009144,1785477755584334166,679325022
55,188,11,12,backward,3,1785477755701725340,1785477756388022230,686296890
55,204,12,12,forward,0,1785477748645929312,1785477748958178662,312249350
55,204,12,12,forward,1,1785477749141979451,1785477749449878790,307899339
55,204,12,12,forward,2,1785477749471587884,1785477749779688291,308100407
55,204,12,12,forward,3,1785477749945934426,1785477750254389045,308454619
55,204,12,12,backward,0,1785477751865375371,1785477752551345024,685969653
55,204,12,12,backward,1,1785477752987375516,1785477753670544020,683168504
55,204,12,12,backward,2,1785477754130144683,1785477754808432513,678287830
55,204,12,12,backward,3,1785477754929161972,1785477755604681268,675519296
55,220,13,12,forward,0,1785477748963622517,1785477749279316312,315693795
55,220,13,12,forward,1,1785477749454891061,1785477749915642949,460751888
55,220,13,12,forward,2,1785477749925814921,1785477750236531966,310717045
55,220,13,12,backward,0,1785477751077462126,1785477751766560894,689098768
55,220,13,12,forward,3,1785477751864639102,1785477752180736753,316097651
55,220,13,12,backward,1,1785477752190084915,1785477752889033120,698948205
55,220,13,12,backward,2,1785477753349520649,1785477754032099062,682578413
55,220,13,12,backward,3,1785477754148183172,1785477754830534430,682351258
55,236,14,12,forward,0,1785477749285600691,1785477749607350630,321749939
55,236,14,12,forward,1,1785477749920817944,1785477750233423895,312605951
55,236,14,12,backward,0,1785477750297437982,1785477750978797555,681359573
55,236,14,12,forward,2,1785477751077161797,1785477751394154197,316992400
55,236,14,12,backward,1,1785477751400172941,1785477752091792942,691620001
55,236,14,12,forward,3,1785477752190118412,1785477752519127421,329009009
55,236,14,12,backward,2,1785477752525230512,1785477753252326110,727095598
55,236,14,12,backward,3,1785477753355009323,1785477754049533122,694523799
55,252,15,12,forward,0,1785477749613132620,1785477749809368048,196235428
55,252,15,12,backward,0,1785477749809514382,1785477750196908287,387393905
55,252,15,12,forward,1,1785477750297337635,1785477750489794044,192456409
55,252,15,12,backward,1,1785477750489959806,1785477750861586003,371626197
55,252,15,12,forward,2,1785477751400117984,1785477751594937479,194819495
55,252,15,12,backward,2,1785477751595093716,1785477751960962053,365868337
55,252,15,12,forward,3,1785477752525187443,1785477752718578923,193391480
55,252,15,12,backward,3,1785477752718750809,1785477753084208341,365457532
55,13,0,13,forward,0,1785477744808336642,1785477744969103456,160766814
55,13,0,13,forward,1,1785477744974385115,1785477745132929998,158544883
55,13,0,13,forward,2,1785477745308598469,1785477745466927577,158329108
55,13,0,13,forward,3,1785477745663231674,1785477745841279598,178047924
55,13,0,13,backward,0,1785477761461369605,1785477761870809653,409440048
55,13,0,13,backward,1,1785477762589732266,1785477763005916456,416184190
55,13,0,13,backward,2,1785477763643405881,1785477764051367366,407961485
55,13,0,13,backward,3,1785477764485353193,1785477764892913799,407560606
55,29,1,13,forward,0,1785477744974333874,1785477745298309201,323975327
55,29,1,13,forward,1,1785477745308530816,1785477745636218040,327687224
55,29,1,13,forward,2,1785477745663161516,1785477746005559612,342398096
55,29,1,13,forward,3,1785477746080930902,1785477746407005830,326074928
55,29,1,13,backward,0,1785477760637794277,1785477761362593620,724799343
55,29,1,13,backward,1,1785477761765723187,1785477762492858300,727135113
55,29,1,13,backward,2,1785477762820866155,1785477763545958004,725091849
55,29,1,13,backward,3,1785477763661266860,1785477764387680778,726413918
55,45,2,13,forward,0,1785477745303468373,1785477745647717589,344249216
55,45,2,13,forward,1,1785477745657951848,1785477745994652700,336700852
55,45,2,13,forward,2,1785477746075765605,1785477746396299974,320534369
55,45,2,13,forward,3,1785477746438766118,1785477746785817712,347051594
55,45,2,13,backward,0,1785477759833011659,1785477760538361973,705350314
55,45,2,13,backward,1,1785477760907532848,1785477761666868980,759336132
55,45,2,13,backward,2,1785477762013291149,1785477762722573306,709282157
55,45,2,13,backward,3,1785477762857060542,1785477763561865909,704805367
55,61,3,13,forward,0,1785477745653039528,1785477746060380068,407340540
55,61,3,13,forward,1,1785477746070461937,1785477746423452186,352990249
55,61,3,13,forward,2,1785477746433630036,1785477746771393968,337763932
55,61,3,13,forward,3,1785477746791121168,1785477747116522797,325401629
55,61,3,13,backward,0,1785477759009788677,1785477759737271842,727483165
55,61,3,13,backward,1,1785477760112709909,1785477760809652722,696942813
55,61,3,13,backward,2,1785477761222898781,1785477761915257691,692358910
55,61,3,13,backward,3,1785477762066183533,1785477762758870825,692687292
55,77,4,13,forward,0,1785477746065568225,1785477746384329906,318761681
55,77,4,13,forward,1,1785477746428445284,1785477746746624930,318179646
55,77,4,13,forward,2,1785477746776382120,1785477747093390651,317008531
55,77,4,13,forward,3,1785477747228817667,1785477747558775813,329958146
55,77,4,13,backward,0,1785477758209118754,1785477758910170170,701051416
55,77,4,13,backward,1,1785477759314772472,1785477760014315536,699543064
55,77,4,13,backward,2,1785477760423808429,1785477761123859944,700051515
55,77,4,13,backward,3,1785477761268613210,1785477761967951084,699337874
55,93,5,13,forward,0,1785477746389979280,1785477746704744686,314765406
55,93,5,13,forward,1,1785477746751918902,1785477747213377192,461458290
55,93,5,13,forward,2,1785477747223689678,1785477747547985005,324295327
55,93,5,13,forward,3,1785477747564080876,1785477747876303296,312222420
55,93,5,13,backward,0,1785477757419208373,1785477758109375047,690166674
55,93,5,13,backward,1,1785477758528484190,1785477759216387984,687903794
55,93,5,13,backward,2,1785477759636750999,1785477760325609762,688858763
55,93,5,13,backward,3,1785477760482115862,1785477761170080119,687964257
55,109,6,13,forward,0,1785477746710208857,1785477747026590897,316382040
55,109,6,13,forward,1,1785477747218445639,1785477747546261074,327815435
55,109,6,13,forward,2,1785477747556744363,1785477747886828265,330083902
55,109,6,13,forward,3,1785477747897398116,1785477748211438735,314040619
55,109,6,13,backward,0,1785477756621783755,1785477757321260215,699476460
55,109,6,13,backward,1,1785477757734834313,1785477758429350392,694516079
55,109,6,13,backward,2,1785477758841899918,1785477759540292665,698392747
55,109,6,13,backward,3,1785477759686313242,1785477760384883421,698570179
55,125,7,13,forward,0,1785477747032298757,1785477747354677155,322378398
55,125,7,13,forward,1,1785477747551542897,1785477747862793033,311250136
55,125,7,13,forward,2,1785477747892104835,1785477748201403392,309298557
55,125,7,13,forward,3,1785477748216644896,1785477748526106933,309462037
55,125,7,13,backward,0,1785477755838414423,1785477756523879664,685465241
55,125,7,13,backward,1,1785477756949853929,1785477757636498625,686644696
55,125,7,13,backward,2,1785477758058653482,1785477758743577622,684924140
55,125,7,13,backward,3,1785477758907220153,1785477759588444774,681224621
55,141,8,13,forward,0,1785477747360584513,1785477747675261050,314676537
55,141,8,13,forward,1,1785477747867879974,1785477748184485401,316605427
55,141,8,13,forward,2,1785477748206407346,1785477748518225008,311817662
55,141,8,13,forward,3,1785477748531062990,1785477748841071141,310008151
55,141,8,13,backward,0,1785477755021506145,1785477755740492535,718986390
55,141,8,13,backward,1,1785477756138627162,1785477756851683563,713056401
55,141,8,13,backward,2,1785477757266871671,1785477757959503334,692631663
55,141,8,13,backward,3,1785477758086846888,1785477758809218462,722371574
55,157,9,13,forward,0,1785477747680665471,1785477748003071372,322405901
55,157,9,13,forward,1,1785477748189582536,1785477748507231580,317649044
55,157,9,13,forward,2,1785477748523288363,1785477748839938277,316649914
55,157,9,13,forward,3,1785477748850156264,1785477749169033766,318877502
55,157,9,13,backward,0,1785477754212376220,1785477754922351594,709975374
55,157,9,13,backward,1,1785477755327500796,1785477756040363442,712862646
55,157,9,13,backward,2,1785477756465061239,1785477757168540438,703479199
55,157,9,13,backward,3,1785477757272244252,1785477757989289495,717045243
55,173,10,13,forward,0,1785477748008585214,1785477748321892956,313307742
55,173,10,13,forward,1,1785477748512452071,1785477748823203943,310751872
55,173,10,13,forward,2,1785477748845134043,1785477749155191582,310057539
55,173,10,13,forward,3,1785477749174230212,1785477749628858913,454628701
55,173,10,13,backward,0,1785477753424325455,1785477754113907470,689582015
55,173,10,13,backward,1,1785477754542901340,1785477755229053706,686152366
55,173,10,13,backward,2,1785477755682592492,1785477756365786519,683194027
55,173,10,13,backward,3,1785477756486038028,1785477757171421959,685383931
55,189,11,13,forward,0,1785477748328200612,1785477748640410714,312210102
55,189,11,13,forward,1,1785477748828289633,1785477749136929318,308639685
55,189,11,13,forward,2,1785477749160401367,1785477749466547382,306146015
55,189,11,13,forward,3,1785477749634151555,1785477749941003159,306851604
55,189,11,13,backward,0,1785477752649361110,1785477753327082400,677721290
55,189,11,13,backward,1,1785477753768069950,1785477754445631250,677561300
55,189,11,13,backward,2,1785477754904901706,1785477755584673836,679772130
55,189,11,13,backward,3,1785477755701964898,1785477756388216876,686251978
55,205,12,13,forward,0,1785477748646340036,1785477748958162017,311821981
55,205,12,13,forward,1,1785477749141960927,1785477749449952406,307991479
55,205,12,13,forward,2,1785477749471584288,1785477749779623276,308038988
55,205,12,13,forward,3,1785477749946023737,1785477750254348328,308324591
55,205,12,13,backward,0,1785477751864844175,1785477752551375259,686531084
55,205,12,13,backward,1,1785477752987410800,1785477753670478664,683067864
55,205,12,13,backward,2,1785477754130176246,1785477754807984515,677808269
55,205,12,13,backward,3,1785477754929097640,1785477755604644444,675546804
