iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,trace_duration_ns,embedded_collective_adjustment_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_relative_start_ns,predicted_relative_end_ns,critical_predecessor,local_wait_ns,predicted_lane_origin_ns,predicted_start_ns,predicted_end_ns
55,lane7:F0:s12->s13,pp_message,forward,0,-1,12,7,199,215,12,13,-1,p2p,4712346,0,0,4712346,0,,,4046775613,4051487959,rank199:F0,0,1785477744808446696,1785477748855222309,1785477748859934655
55,rank215:F0,compute,forward,0,215,13,7,215,215,13,13,0,warmup,314999352,314999352,0,0,0,1.7854777488712125e+18,1.7854777491862118e+18,4051487959,4366487311,lane7:F0:s12->s13,4051487959,1785477744808446696,1785477748859934655,1785477749174934007
55,lane7:F1:s11->s12,pp_message,forward,1,-1,11,7,183,199,11,12,-1,p2p,4712346,0,0,4712346,0,,,4063412754,4068125100,rank183:F1,0,1785477744808446696,1785477748871859450,1785477748876571796
55,rank199:F1,compute,forward,1,199,12,7,199,199,12,12,1,warmup,307334813,307334813,0,0,0,1.7854777488908124e+18,1.7854777491981473e+18,4068125100,4375459913,lane7:F1:s11->s12,21349487,1785477744808446696,1785477748876571796,1785477749183906609
55,lane7:F2:s10->s11,pp_message,forward,2,-1,10,7,167,183,10,11,-1,p2p,4712346,0,0,4712346,0,,,4230962614,4235674960,rank167:F2,0,1785477744808446696,1785477749039409310,1785477749044121656
55,rank183:F2,compute,forward,2,183,11,7,183,183,11,11,2,warmup,309159719,309159719,0,0,0,1.7854777490631117e+18,1.7854777493722714e+18,4235674960,4544834679,lane7:F2:s10->s11,172262206,1785477744808446696,1785477749044121656,1785477749353281375
55,lane7:F3:s9->s10,pp_message,forward,3,-1,9,7,151,167,9,10,-1,p2p,4712346,0,0,4712346,0,,,4242133628,4246845974,rank151:F3,0,1785477744808446696,1785477749050580324,1785477749055292670
55,rank167:F3,compute,forward,3,167,10,7,167,167,10,10,3,warmup,310788903,310788903,0,0,0,1.78547774907973e+18,1.7854777493905188e+18,4246845974,4557634877,lane7:F3:s9->s10,15883360,1785477744808446696,1785477749055292670,1785477749366081573
55,lane7:F0:s13->s14,pp_message,forward,0,-1,13,7,215,231,13,14,-1,p2p,4712346,0,0,4712346,0,,,4366487311,4371199657,rank215:F0,0,1785477744808446696,1785477749174934007,1785477749179646353
55,rank231:F0,compute,forward,0,231,14,7,231,231,14,14,0,warmup,316125820,316125820,0,0,0,1.785477749192219e+18,1.7854777495083446e+18,4371199657,4687325477,lane7:F0:s13->s14,4371199657,1785477744808446696,1785477749179646353,1785477749495772173
