iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1093,2,2,1785477765034493141,1785477765034523347,1785477765096453306,1785477765012633352,1785477765012663558,1785477765074593517,61929959,61929959,10520,10560,1887436800.0,30206,30206,61960165,61960165
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1095,2,2,1785477765034512806,1785477765034533717,1785477765088380819,1785477765012653017,1785477765012673928,1785477765066521030,53847102,53847102,46360,47400,1887436800.0,20911,20911,53868013,53868013
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1097,2,2,1785477765034513750,1785477765034527031,1785477765088361463,1785477765012653961,1785477765012667242,1785477765066501674,53834432,53834432,10800,38760,1887436800.0,13281,13281,53847713,53847713
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1099,2,2,1785477765034490814,1785477765034505381,1785477765088441974,1785477765012631025,1785477765012645592,1785477765066582185,53936593,53936593,10640,11200,1887436800.0,14567,14567,53951160,53951160
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1101,2,2,1785477765034517109,1785477765034541026,1785477765096908894,1785477765012657320,1785477765012681237,1785477765075049105,62367868,62367868,14840,75401,1887436800.0,23917,23917,62391785,62391785
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1103,2,2,1785477765034497827,1785477765034516874,1785477765088735677,1785477765012638038,1785477765012657085,1785477765066875888,54218803,54218803,10500,60960,1887436800.0,19047,19047,54237850,54237850
55,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1105,2,2,1785477765034482734,1785477765034497624,1785477765088053486,1785477765012622945,1785477765012637835,1785477765066193697,53555862,53555862,10920,14721,1887436800.0,14890,14890,53570752,53570752
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1091,2,2,1785477765192042999,1785477765192131235,1785477765244656591,1785477765170183210,1785477765170271446,1785477765222796802,52525356,52525356,35080,61720,1887436800.0,88236,88236,52613592,52613592
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1093,2,2,1785477765192030231,1785477765192061923,1785477765253907082,1785477765170170442,1785477765170202134,1785477765232047293,61845159,61845159,10720,20480,1887436800.0,31692,31692,61876851,61876851
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1095,2,2,1785477765192019914,1785477765192105343,1785477765245063191,1785477765170160125,1785477765170245554,1785477765223203402,52957848,52957848,14040,33800,1887436800.0,85429,85429,53043277,53043277
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1097,2,2,1785477765192035317,1785477765192046203,1785477765244312905,1785477765170175528,1785477765170186414,1785477765222453116,52266702,52266702,12040,12120,1887436800.0,10886,10886,52277588,52277588
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1099,2,2,1785477765192002670,1785477765192057908,1785477765246185822,1785477765170142881,1785477765170198119,1785477765224326033,54127914,54127914,11160,21237,1887436800.0,55238,55238,54183152,54183152
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1101,2,2,1785477765192080076,1785477765192114489,1785477765254078865,1785477765170220287,1785477765170254700,1785477765232219076,61964376,61964376,21000,99081,1887436800.0,34413,34413,61998789,61998789
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1103,2,2,1785477765192034649,1785477765192141866,1785477765244160655,1785477765170174860,1785477765170282077,1785477765222300866,52018789,52018789,10680,118720,1887436800.0,107217,107217,52126006,52126006
55,3,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1105,2,2,1785477765192028772,1785477765192081530,1785477765244183716,1785477765170168983,1785477765170221741,1785477765222323927,52102186,52102186,11840,53480,1887436800.0,52758,52758,52154944,52154944
