iteration,pp_stage,behavior,kind,round,group_key,fct_group_id,group_size,observed_ranks,payload_bytes,reference_first_start_ns,reference_ready_ns,reference_group_end_ns,simulated_first_start_ns,simulated_ready_ns,simulated_group_end_ns,reference_tail_after_last_release_ns,simulated_tail_after_last_release_ns,network_tail_shift_ns,group_finish_shift_ns,iteration_drag_ns,hidden_by_slack_ns,downstream_slack_ns,exposure_ratio,fully_hidden,critical_before,critical_after
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1223,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1223,2,2,7549747200,1785477756511838186,1785477756511989881,1785477756726505807,1785477756511838186,1785477756511989881,1785477756726505807,214515926,214515926,0,0,0,0,8248310661,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1225,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1225,2,2,7549747200,1785477756511826119,1785477756512310572,1785477756723872293,1785477756511826119,1785477756512310572,1785477756723872293,211561721,211561721,0,0,0,0,8250944175,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1227,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1227,2,2,7549747200,1785477756512159556,1785477756512380290,1785477756722119815,1785477756512159556,1785477756512380290,1785477756722119815,209739525,209739525,0,0,0,0,8252696653,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1229,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1229,2,2,7549747200,1785477756511927335,1785477756511960309,1785477756722337830,1785477756511927335,1785477756511960309,1785477756722337830,210377521,210377521,0,0,0,0,8252478638,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1231,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1231,2,2,7549747200,1785477756512022944,1785477756512187534,1785477756724665127,1785477756512022944,1785477756512187534,1785477756724665127,212477593,212477593,0,0,0,0,8250151341,,False,False,False
55,11,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1233,iter55:pp11:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1233,2,2,7549747200,1785477756512139480,1785477756512332347,1785477756724589989,1785477756512139480,1785477756512332347,1785477756724589989,212257642,212257642,0,0,0,0,8250226479,,False,False,False
55,12,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=25,iter55:pp12:dp_ag0:round0:dp_param_allgather:pg=25,16,16,98621440,1785477765003638332,1785477765004534389,1785477765012220781,1785477765003638332,1785477765004534389,1785477765012220781,7686392,7686392,0,0,0,0,17062557,,False,False,False
55,12,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=25,iter55:pp12:dp_ag1:round1:dp_param_allgather:pg=25,16,16,98621440,1785477765152988406,1785477765157039822,1785477765164447495,1785477765152988406,1785477765157039822,1785477765164447495,7407673,7407673,0,0,0,0,17062557,,False,False,False
55,12,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=25,iter55:pp12:dp_rs:round0:dp_grad_reduce_scatter:pg=25,16,16,3155886080,1785477755523343553,1785477755692822798,1785477755708500344,1785477755523343553,1785477755692822798,1785477755708500344,15677546,15677546,0,0,0,0,9036232200,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1235,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1235,2,2,1887436800,1785477765012185902,1785477765012233844,1785477765066301144,1785477765012185902,1785477765012233844,1785477765066301144,54067300,54067300,0,0,0,0,20212952,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1237,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1237,2,2,1887436800,1785477765012199269,1785477765012233565,1785477765069016277,1785477765012199269,1785477765012233565,1785477765069016277,56782712,56782712,0,0,0,0,17062557,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1239,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1239,2,2,1887436800,1785477765012155327,1785477765012201242,1785477765067113735,1785477765012155327,1785477765012201242,1785477765067113735,54912493,54912493,0,0,0,0,19176193,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1241,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1241,2,2,1887436800,1785477765012185110,1785477765012231341,1785477765065148500,1785477765012185110,1785477765012231341,1785477765065148500,52917159,52917159,0,0,0,0,21013925,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1243,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1243,2,2,1887436800,1785477765012173289,1785477765012229821,1785477765066748808,1785477765012173289,1785477765012229821,1785477765066748808,54518987,54518987,0,0,0,0,19474653,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1245,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1245,2,2,1887436800,1785477765012173481,1785477765012222673,1785477765066426906,1785477765012173481,1785477765012222673,1785477765066426906,54204233,54204233,0,0,0,0,19878774,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1247,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1247,2,2,1887436800,1785477765012178330,1785477765012187380,1785477765066258315,1785477765012178330,1785477765012187380,1785477765066258315,54070935,54070935,0,0,0,0,20202754,,False,False,False
55,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1249,iter55:pp12:edp_ag0:round0:expert_dp_param_allgather:pg=1249,2,2,1887436800,1785477765012216717,1785477765012226238,1785477765068460484,1785477765012216717,1785477765012226238,1785477765068460484,56234246,56234246,0,0,0,0,17378811,,False,False,False
55,12,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1235,iter55:pp12:edp_ag1:round1:expert_dp_param_allgather:pg=1235,2,2,1887436800,1785477765164424308,1785477765164471442,1785477765216208870,1785477765164424308,1785477765164471442,1785477765216208870,51737428,51737428,0,0,0,0,23639389,,False,False,False
55,12,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1237,iter55:pp12:edp_ag1:round1:expert_dp_param_allgather:pg=1237,2,2,1887436800,1785477765164425495,1785477765164458671,1785477765222785702,1785477765164425495,1785477765164458671,1785477765222785702,58327031,58327031,0,0,0,0,17062557,,False,False,False
55,12,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1239,iter55:pp12:edp_ag1:round1:expert_dp_param_allgather:pg=1239,2,2,1887436800,1785477765164461222,1785477765164484791,1785477765216039217,1785477765164461222,1785477765164484791,1785477765216039217,51554426,51554426,0,0,0,0,23809042,,False,False,False
55,12,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1241,iter55:pp12:edp_ag1:round1:expert_dp_param_allgather:pg=1241,2,2,1887436800,1785477765164436294,1785477765164459375,1785477765217923085,1785477765164436294,1785477765164459375,1785477765217923085,53463710,53463710,0,0,0,0,21925174,,False,False,False
55,12,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1243,iter55:pp12:edp_ag1:round1:expert_dp_param_allgather:pg=1243,2,2,1887436800,1785477765164402953,1785477765164443598,1785477765216426294,1785477765164402953,1785477765164443598,1785477765216426294,51982696,51982696,0,0,0,0,23421965,,False,False,False
