arrival_wait_ns,group_ready_ns,kind,behavior,group_size,service_ns,group_key,completion_advance_ns,round,end_ns,start_ns,group_end_ns,observed_ranks,group_first_start_ns,iteration,rank,pp_stage,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,provider_rank_done_offset_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
1068143,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,17410,1,1785477765089440332,1785477765076841445,1785477765089457742,16,1785477765074595964,55,14,0,148986880,same_rank_edp_ag0,23599808,1785477765054981656,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,17410,trace_group_end_lag_clamped,1785477765067580543
2037781,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,14772,1,1785477765089442970,1785477765075871807,1785477765089457742,16,1785477765074595964,55,15,0,148986880,same_rank_edp_ag0,23621515,1785477765054012018,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,14772,trace_group_end_lag_clamped,1785477765067583181
121986005,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,39775,0,1785477764935174221,1785477764789544563,1785477764935213996,16,1785477764788594100,55,0,0,4767580160,pp_frontier,0,1785477764760763174,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,39775,trace_group_end_lag_clamped,1785477764913314432
121797445,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,60191,0,1785477764935153805,1785477764789733123,1785477764935213996,16,1785477764788594100,55,1,0,4767580160,pp_frontier,0,1785477764755869576,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,60191,trace_group_end_lag_clamped,1785477764913294016
122163463,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,61326,0,1785477764935152670,1785477764789367105,1785477764935213996,16,1785477764788594100,55,2,0,4767580160,pp_frontier,0,1785477764763739227,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,61326,trace_group_end_lag_clamped,1785477764913292881
122045609,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,53741,0,1785477764935160255,1785477764789484959,1785477764935213996,16,1785477764788594100,55,3,0,4767580160,pp_frontier,0,1785477764762434127,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,53741,trace_group_end_lag_clamped,1785477764913300466
122815184,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,50208,0,1785477764935163788,1785477764788715384,1785477764935213996,16,1785477764788594100,55,4,0,4767580160,pp_frontier,0,1785477764768747312,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,50208,trace_group_end_lag_clamped,1785477764913303999
122936468,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,0,0,1785477764935213996,1785477764788594100,1785477764935213996,16,1785477764788594100,55,5,0,4767580160,pp_frontier,0,1785477764770877682,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,0,trace_group_end_lag_clamped,1785477764913354207
122489989,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,121238,0,1785477764935092758,1785477764789040579,1785477764935213996,16,1785477764788594100,55,6,0,4767580160,pp_frontier,0,1785477764758881466,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,121238,trace_group_end_lag_clamped,1785477764913232969
122562310,1785477764911530568,dp_rs,dp_grad_reduce_scatter,16,23683428,dp_grad_reduce_scatter:pg=1,56008,0,1785477764935157988,1785477764788968258,1785477764935213996,16,1785477764788594100,55,7,0,4767580160,pp_frontier,0,1785477764756200295,1785477764889670779,1785477764755869576,1.0,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1,iter55:pp0:dp_rs:round0:dp_grad_reduce_scatter:pg=1:rel-eee33f1d96b9,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,157484631,133801203,23683428,157484631,23683428,1785477764913354207,-1,56008,trace_group_end_lag_clamped,1785477764913298199
