request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,network_tail_after_last_release_ns,trace_calibration_residual_ns,software_residual_ns,simulator_bias_correction_ns,rank_network_done_offsets_ns,source,simulator_commit,topology_hash
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1077:rel-5dca908e0c6b,0,131796,211490773,211490773,131796,211358977,151169266,60189711,60189711,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1079:rel-7eb527922249,0,114666,210249138,210249138,114666,210134472,151169266,58965206,58965206,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1081:rel-1e09968b6ab3,0,115419,211543104,211543104,115419,211427685,151169266,60258419,60258419,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1083:rel-fc7ba47441c8,0,410143,210541192,210541192,410143,210131049,151169266,58961783,58961783,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1085:rel-46b0ad4b264e,0,89522,212531141,212531141,89522,212441619,151169266,61272353,61272353,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1087:rel-e54eca9bcd4a,0,21982,209082750,209082750,21982,209060768,151169266,57891502,57891502,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1089:rel-f804234bc0bb,0,82873,211035809,211035809,82873,210952936,151169266,59783670,59783670,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1091:rel-f2ce49c10662,0,547330,208431381,208431381,547330,207884051,151169266,56714785,56714785,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1093:rel-c786080df1db,0,142007,217930213,217930213,142007,217788206,151169266,66618940,66618940,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1095:rel-890695343734,0,353210,208252445,208252445,353210,207899235,151169266,56729969,56729969,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1097:rel-5d4ec32402ec,0,265792,226624348,226624348,265792,226358556,151169266,75189290,75189290,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1099:rel-ddb1960efb5b,0,164158,208623305,208623305,164158,208459147,151169266,57289881,57289881,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1101:rel-b7f20d5b1645,0,64962,209320631,209320631,64962,209255669,151169266,58086403,58086403,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1103:rel-266b59edc53c,0,83763,208092290,208092290,83763,208008527,151169266,56839261,56839261,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1105:rel-829f5273926a,0,790550,212769591,212769591,790550,211979041,151169266,60809775,60809775,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1107:rel-77c8c73fc956,0,46232,204507553,204507553,46232,204461321,151169266,53292055,53292055,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1109:rel-c70223e2b6b7,0,450524,191252450,191252450,450524,190801926,151169266,39632660,39632660,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1111:rel-58b33f6f2575,0,388816,207698328,207698328,388816,207309512,151169266,56140246,56140246,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1113:rel-e67f9f67a293,0,1903185,207822880,207822880,1903185,205919695,151169266,54750429,54750429,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1115:rel-936c215fab74,0,68270,214150630,214150630,68270,214082360,151169266,62913094,62913094,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1117:rel-e55d5ece25fe,0,229393,207816645,207816645,229393,207587252,151169266,56417986,56417986,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1119:rel-471c9b77ddf5,0,496644,190101572,190101572,496644,189604928,151169266,38435662,38435662,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp4:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1121:rel-f5a6ac27ea88,0,33116,220240602,220240602,33116,220207486,151169266,69038220,69038220,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
